wav_filename,wav_filesize,transcript
deepspeech/train/1.wav,122958,قل هو الله أحد
deepspeech/train/2.wav,106332,قل هو الله أحد
deepspeech/train/3.wav,110002,قل هو الله أحد
deepspeech/train/4.wav,131150,قل هو الله أحد
deepspeech/train/5.wav,131150,قل هو الله أحد
deepspeech/train/6.wav,99600,قل هو الله أحد
deepspeech/train/7.wav,103360,قل هو الله أحد
deepspeech/train/8.wav,131150,قل هو الله أحد
deepspeech/train/9.wav,120450,قل هو الله أحد
deepspeech/train/10.wav,120228,الله الصمد
deepspeech/train/11.wav,95652,الله الصمد
deepspeech/train/12.wav,131596,الله الصمد
deepspeech/train/13.wav,72896,الله الصمد
deepspeech/train/14.wav,95652,الله الصمد
deepspeech/train/15.wav,95652,الله الصمد
deepspeech/train/16.wav,117496,الله الصمد
deepspeech/train/17.wav,160574,الله الصمد
deepspeech/train/18.wav,75868,و لم يولد
deepspeech/train/19.wav,107076,لم يلد و لم يولد
deepspeech/train/20.wav,105848,لم يلد و لم يولد
deepspeech/train/21.wav,82556,لم يلد و لم يولد
deepspeech/train/22.wav,139342,لم يلد و لم يولد
deepspeech/train/23.wav,24598,و لم يولد
deepspeech/train/24.wav,24598,و لم يولد
deepspeech/train/25.wav,131150,لم يلد و لم يولد
deepspeech/train/26.wav,139342,لم يلد و لم يولد
deepspeech/train/27.wav,116736,لم يلد و لم يولد
deepspeech/train/28.wav,265344,و لم يكن له كفوا أحد
deepspeech/train/29.wav,66208,يكن له كفوا أحد
deepspeech/train/30.wav,139342,و لم يكن له كفوا أحد
deepspeech/train/31.wav,139026,و لم يكن له كفوا أحد
deepspeech/train/32.wav,144228,و لم يكن له كفوا أحد
deepspeech/train/33.wav,64888,له كفوا
deepspeech/train/34.wav,143484,و لم يكن له كفوا أحد
deepspeech/train/35.wav,158456,و لم يكن له كفوا أحد
deepspeech/train/36.wav,85528,قل هو الله أحد
deepspeech/train/37.wav,69924,الله الصمد
deepspeech/train/38.wav,89278,لم يلد و لم يولد
deepspeech/train/39.wav,122422,و لم يكن له كفوا أحد
deepspeech/train/40.wav,122958,قل هو الله أحد
deepspeech/train/41.wav,101058,الله الصمد
deepspeech/train/42.wav,120254,لم يلد و لم يولد
deepspeech/train/43.wav,174820,و لم يكن له كفوا أحد
deepspeech/train/44.wav,55670,قل هو الله أحد
deepspeech/train/45.wav,53394,الله الصمد
deepspeech/train/46.wav,61082,لم يلد و لم يولد
deepspeech/train/47.wav,96036,و لم يكن له كفوا أحد
deepspeech/train/48.wav,174656,قل هو الله أحد
deepspeech/train/49.wav,170080,الله الصمد
deepspeech/train/50.wav,188216,لم يلد و لم يولد
deepspeech/train/51.wav,243390, لم يكن له كفوا أحد
deepspeech/train/52.wav,66744,قل هو الله أحد
deepspeech/train/53.wav,54834,الله الصمد
deepspeech/train/54.wav,76568,لم يلد و لم يولد
deepspeech/train/55.wav,103798,و لم يكن له كفوا أحد
deepspeech/train/56.wav,83706,قل هو الله أحد
deepspeech/train/57.wav,65310,الله الصمد
deepspeech/train/58.wav,79538,لم يلد و لم يولد
deepspeech/train/59.wav,120166,و لم يكن له كفوا أحد
deepspeech/train/60.wav,110704,قل هو الله أحد
deepspeech/train/61.wav,91176,الله الصمد
deepspeech/train/62.wav,229642,لم يلد و لم يولد و لم يكن له كفوا أحد
deepspeech/train/63.wav,102050,قل هو الله أحد
deepspeech/train/64.wav,74480,الله الصمد
deepspeech/train/65.wav,82766,لم يلد و لم يولد
deepspeech/train/66.wav,111048,و لم يكن له كفوا أحد
deepspeech/train/67.wav,70170,قل هو الله أحد
deepspeech/train/68.wav,47322,الله الصمد
deepspeech/train/69.wav,77974,لم يلد و لم يولد
deepspeech/train/70.wav,111728,و لم يكن له كفوا أحد
deepspeech/train/71.wav,78956,قل هو الله أحد
deepspeech/train/72.wav,68826,الله الصمد
deepspeech/train/73.wav,192270,لم يلد و لم يولد و لم يكن له كفوا أحد
deepspeech/train/74.wav,80702,قل هو الله أحد
deepspeech/train/75.wav,62874,الله الصمد
deepspeech/train/76.wav,70236,لم يلد و لم يولد
deepspeech/train/77.wav,130670,و لم يكن له كفوا أحد
deepspeech/train/78.wav,80398,قل هو الله أحد
deepspeech/train/79.wav,70550,الله الصمد
deepspeech/train/80.wav,73442,لم يلد و لم يولد
deepspeech/train/81.wav,112278,و لم يكن له كفوا أحد
deepspeech/train/82.wav,70760,قل هو الله أحد
deepspeech/train/83.wav,63236,الله الصمد
deepspeech/train/84.wav,80330,لم يلد و لم يولد
deepspeech/train/85.wav,105758,و لم يكن له كفوا أحد
deepspeech/train/86.wav,81162,قل هو الله أحد
deepspeech/train/87.wav,61750,الله الصمد
deepspeech/train/88.wav,88376,لم يلد و لم يولد
deepspeech/train/89.wav,124606,و لم يكن له كفوا أحد
deepspeech/train/90.wav,65806,قل هو الله أحد
deepspeech/train/91.wav,59840,الله الصمد
deepspeech/train/92.wav,70688,لم يلد و لم يولد
deepspeech/train/93.wav,113484,و لم يكن له كفوا أحد
deepspeech/train/94.wav,83160,قل هو الله أحد
deepspeech/train/95.wav,60400,الله الصمد
deepspeech/train/96.wav,79884,لم يلد و لم يولد
deepspeech/train/97.wav,121426,و لم يكن له كفوا أحد
deepspeech/train/98.wav,75338,قل هو الله أحد
deepspeech/train/99.wav,49146,الله الصمد
